word,word type,frequency
stoop,content,0.17624042860262315
vîng,content,0.29373404767103856
cumberland,content,0.4699744762736617
hạdominian,content,0.05874680953420771
porpoise,content,0.05874680953420771
takahashi,content,0.05874680953420771
mannie,content,0.05874680953420771
coccidioides,content,0.05874680953420771
erhardt,content,0.05874680953420771
tãm,content,0.17624042860262315
ýõìc,content,0.05874680953420771
acapella,content,0.11749361906841542
aaronson,content,0.11749361906841542
oola,content,0.11749361906841542
swanson,content,0.5874680953420771
faso,content,0.11749361906841542
sherly,content,0.29373404767103856
aiden,content,1.4686702383551928
stories,content,0.4699744762736617
độn,content,27.258519623872377
rothstein,content,0.7049617144104926
command,content,1.5274170478894002
zdô,content,0.05874680953420771
vian,content,0.05874680953420771
nsp,content,0.05874680953420771
phún,content,0.05874680953420771
beowulf,content,4.87598519133924
arialla,content,0.11749361906841542
netc,content,0.05874680953420771
cv,content,0.5287212858078694
chóp,content,2.2911255718341006
rileah,content,0.11749361906841542
dút,content,0.05874680953420771
arne,content,0.23498723813683084
vinice,content,0.05874680953420771
rohan,content,2.2911255718341006
ngan,content,0.4699744762736617
not,content,24.08619190902516
gonzales,content,1.3511766192867773
bromden,content,0.11749361906841542
salmuth,content,0.05874680953420771
westlund,content,1.0574425716157387
cmàu,content,0.05874680953420771
chuyẹn,content,0.05874680953420771
tởn,content,0.41122766673945393
zoombie,content,0.11749361906841542
tomiko,content,0.05874680953420771
cà,content,133.12027040451466
zurich,content,1.7624042860262312
baron,content,1.8798979050946467
strawbery,content,0.05874680953420771
mathurin,content,1.5274170478894002
crew,content,0.7049617144104926
catepsin,content,0.05874680953420771
juario,content,0.05874680953420771
highlight,content,0.05874680953420771
eyrie,content,1.9973915241630622
thik,content,0.8224553334789079
daenerys,content,2.0561383336972696
angieri,content,0.11749361906841542
chsung,content,0.17624042860262315
mêm,content,0.23498723813683084
lionei,content,0.05874680953420771
vự,content,0.17624042860262315
steelgrave,content,0.3524808572052463
viagara,content,0.05874680953420771
yahhh,content,0.05874680953420771
giahoạt,content,0.05874680953420771
microwave,content,0.17624042860262315
happiest,content,0.11749361906841542
understandably,content,0.05874680953420771
vịêc,content,0.11749361906841542
amensit,content,0.05874680953420771
xươc,content,0.05874680953420771
euros,content,0.8812021430131156
khoannn,content,0.05874680953420771
rãng,content,0.23498723813683084
db,content,0.7049617144104926
palettekop,content,0.05874680953420771
chặt,content,102.74816987532928
kulinski,content,0.05874680953420771
flh,content,0.11749361906841542
trahết,content,0.05874680953420771
ciel,content,0.05874680953420771
xiaokui,content,1.1749361906841542
bnhưng,content,0.05874680953420771
ax,content,1.1749361906841542
lorena,content,0.3524808572052463
quặp,content,0.3524808572052463
caffee,content,0.05874680953420771
almost,content,0.8224553334789079
brừm,content,0.05874680953420771
collezione,content,0.05874680953420771
nời,content,0.05874680953420771
array,content,0.29373404767103856
htm,content,0.11749361906841542
flipperhead,content,0.05874680953420771
ogi,content,1.1161893811499466
quải,content,0.41122766673945393
vectrocorp,content,0.05874680953420771
sends,content,0.11749361906841542
salvio,content,0.05874680953420771
snackwell,content,0.11749361906841542
chén,content,30.783328195924838
odate,content,0.05874680953420771
đạ,content,0.3524808572052463
nubs,content,0.05874680953420771
lochy,content,0.05874680953420771
boggis,content,0.9986957620815311
soạn,content,12.865551287991488
bratton,content,0.3524808572052463
videohd,content,0.05874680953420771
igor,content,0.8812021430131156
